article_id,article_global_id,db_id
90,PMC308331,NAR9052
89,PMC308330,MBDC0217
72,PMC308329,NAR9092
70,PMC308328,NAR9129
65,PMC308327,MBDC0212
81,PMC308326,MBDC0215
71,PMC308325,MBDC0225
73,PMC308324,NAR9288
82,PMC308323,NAR9210
102,PMC308322,MBDC0194
94,PMC308321,NAR9328
68,PMC308320,MBDC0229
95,PMC308319,MBDC0120
91,PMC308318,NAR9012
92,PMC308317,NAR9212
79,PMC308316,NAR9211
80,PMC308315,NAR9128
3011,10.1093/nar/gkv998,MBDC1876
3066,10.1093/nar/gkv983,MBDC1694
2975,10.1093/nar/gkv982,MBDC1856
3000,10.1093/nar/gkv972,MBDC1842
3046,10.1093/nar/gkv966,MBDC1875
3013,10.1093/nar/gkv963,MBDC1871
3108,10.1093/nar/gkv962,MBDC1899
2973,10.1093/nar/gkv951,MBDC0735
3007,10.1093/nar/gkv940,MBDC1839
3099,10.1093/nar/gkv902,MBDC1396
2966,10.1093/nar/gkv840,MBDC1904
3071,10.1093/nar/gkv1356,NAR9161
2991,10.1093/nar/gkv1351,MBDC0612
3085,10.1093/nar/gkv1344,MBDC0210
3110,10.1093/nar/gkv1340,MBDC1529
3074,10.1093/nar/gkv1339,MBDC1665
3102,10.1093/nar/gkv1337,NAR9163
2993,10.1093/nar/gkv1329,MBDC1544
3044,10.1093/nar/gkv1324,MBDC1405
3113,10.1093/nar/gkv1323,NAR9142
3068,10.1093/nar/gkv1322,MBDC1860
2963,10.1093/nar/gkv1319,MBDC1655
3095,10.1093/nar/gkv1317,MBDC1542
3115,10.1093/nar/gkv1316,MBDC1851
2995,10.1093/nar/gkv1314,MBDC1911
2989,10.1093/nar/gkv1313,MBDC1866
3089,10.1093/nar/gkv1311,MBDC0002
3069,10.1093/nar/gkv1310,NAR9272
2981,10.1093/nar/gkv1309,MBDC0490
3045,10.1093/nar/gkv1308,MBDC1836
3101,10.1093/nar/gkv1301,MBDC1845
3001,10.1093/nar/gkv1291,MBDC0187
3097,10.1093/nar/gkv1288,MBDC1891
3067,10.1093/nar/gkv1287,MBDC1879
3052,10.1093/nar/gkv1283,MBDC1302
3022,10.1093/nar/gkv1282,MBDC1883
2992,10.1093/nar/gkv1279,NAR9308
3025,10.1093/nar/gkv1278,MBDC0408
3082,10.1093/nar/gkv1277,MBDC1134
3042,10.1093/nar/gkv1276,MBDC0003
3119,10.1093/nar/gkv1275,MBDC0316
2969,10.1093/nar/gkv1274,MBDC1515
3077,10.1093/nar/gkv1273,MBDC1344
3061,10.1093/nar/gkv1272,MBDC1585
3100,10.1093/nar/gkv1271,MBDC0734
3107,10.1093/nar/gkv1270,MBDC1598
3028,10.1093/nar/gkv1269,MBDC1409
2987,10.1093/nar/gkv1268,MBDC1644
2955,10.1093/nar/gkv1266,MBDC1896
3012,10.1093/nar/gkv1265,MBDC1841
3087,10.1093/nar/gkv1264,MBDC1884
3063,10.1093/nar/gkv1263,MBDC1882
3109,10.1093/nar/gkv1258,MBDC1423
3039,10.1093/nar/gkv1257,MBDC1725
3029,10.1093/nar/gkv1254,MBDC0994
3020,10.1093/nar/gkv1253,MBDC1903
3092,10.1093/nar/gkv1252,MBDC0705
3019,10.1093/nar/gkv1251,MBDC1731
3033,10.1093/nar/gkv1250,MBDC0357
3117,10.1093/nar/gkv1249,MBDC1596
2974,10.1093/nar/gkv1248,MBDC1068
3049,10.1093/nar/gkv1247,MBDC1906
3080,10.1093/nar/gkv1245,MBDC1862
3086,10.1093/nar/gkv1243,MBDC1838
3111,10.1093/nar/gkv1240,MBDC0885
3058,10.1093/nar/gkv1239,MBDC0760
3036,10.1093/nar/gkv1238,MBDC1395
3053,10.1093/nar/gkv1237,MBDC1555
2950,10.1093/nar/gkv1236,MBDC1850
3084,10.1093/nar/gkv1233,MBDC0975
3040,10.1093/nar/gkv1232,MBDC0390
3065,10.1093/nar/gkv1231,MBDC0472
2997,10.1093/nar/gkv1230,MBDC0315
3078,10.1093/nar/gkv1229,NAR9080
3064,10.1093/nar/gkv1228,MBDC1859
2990,10.1093/nar/gkv1227,MBDC0733
2972,10.1093/nar/gkv1226,NAR9190
2952,10.1093/nar/gkv1222,MBDC1570
2942,10.1093/nar/gkv1220,MBDC1600
3010,10.1093/nar/gkv1217,MBDC0051
3076,10.1093/nar/gkv1216,MBDC1861
2954,10.1093/nar/gkv1215,MBDC1901
3051,10.1093/nar/gkv1211,MBDC0087
3050,10.1093/nar/gkv1209,NAR9078
3096,10.1093/nar/gkv1208,MBDC1414
2959,10.1093/nar/gkv1205,MBDC0275
3103,10.1093/nar/gkv1204,MBDC1874
2986,10.1093/nar/gkv1203,MBDC1107
3004,10.1093/nar/gkv1201,MBDC1187
3057,10.1093/nar/gkv1195,MBDC1695
3002,10.1093/nar/gkv1194,MBDC0552
3009,10.1093/nar/gkv1192,MBDC1895
2960,10.1093/nar/gkv1190,MBDC0649
3037,10.1093/nar/gkv1189,MBDC0391
3075,10.1093/nar/gkv1188,MBDC1840
2976,10.1093/nar/gkv1187,MBDC1908
3014,10.1093/nar/gkv1186,MBDC1844
3104,10.1093/nar/gkv1185,MBDC1852
2980,10.1093/nar/gkv1179,MBDC0607
2999,10.1093/nar/gkv1178,MBDC0166
3079,10.1093/nar/gkv1176,MBDC0516
3006,10.1093/nar/gkv1175,MBDC1848
3054,10.1093/nar/gkv1174,MBDC1897
2956,10.1093/nar/gkv1165,MBDC1893
3062,10.1093/nar/gkv1164,MBDC0114
3062,10.1093/nar/gkv1164,MBDC0420
2984,10.1093/nar/gkv1163,MBDC1834
3106,10.1093/nar/gkv1160,MBDC1869
2988,10.1093/nar/gkv1159,MBDC0080
2958,10.1093/nar/gkv1157,MBDC0027
3083,10.1093/nar/gkv1156,MBDC0116
3017,10.1093/nar/gkv1155,MBDC1877
3032,10.1093/nar/gkv1148,MBDC1872
3015,10.1093/nar/gkv1147,MBDC1863
3088,10.1093/nar/gkv1146,MBDC1892
3024,10.1093/nar/gkv1145,MBDC0857
2996,10.1093/nar/gkv1143,MBDC1105
2953,10.1093/nar/gkv1142,MBDC1835
3055,10.1093/nar/gkv1141,MBDC1744
2946,10.1093/nar/gkv1138,MBDC1878
3056,10.1093/nar/gkv1137,MBDC1881
2945,10.1093/nar/gkv1132,MBDC1888
3114,10.1093/nar/gkv1130,MBDC1029
2949,10.1093/nar/gkv1128,MBDC1885
2965,10.1093/nar/gkv1127,MBDC1832
3023,10.1093/nar/gkv1126,MBDC1311
2951,10.1093/nar/gkv1124,MBDC1846
3043,10.1093/nar/gkv1123,MBDC1373
2968,10.1093/nar/gkv1119,MBDC1873
3034,10.1093/nar/gkv1118,MBDC0177
3018,10.1093/nar/gkv1117,MBDC1855
2943,10.1093/nar/gkv1116,NAR9070
2985,10.1093/nar/gkv1115,NAR9137
2769,10.1093/nar/gkv1114,MBDC1898
3094,10.1093/nar/gkv1108,MBDC1890
3003,10.1093/nar/gkv1107,MBDC1729
2994,10.1093/nar/gkv1106,MBDC1870
3030,10.1093/nar/gkv1105,MBDC0001
3120,10.1093/nar/gkv1104,MBDC1672
2977,10.1093/nar/gkv1103,MBDC0790
2967,10.1093/nar/gkv1101,MBDC1646
2979,10.1093/nar/gkv1100,MBDC1470
3027,10.1093/nar/gkv1097,MBDC1886
2983,10.1093/nar/gkv1096,MBDC1889
3047,10.1093/nar/gkv1094,MBDC1887
2947,10.1093/nar/gkv1082,MBDC1849
2964,10.1093/nar/gkv1081,MBDC0230
