article_id,db_id,resource_name,access,available,unavailable_message,available_update_date,notes,article_year,citations
1,NAR9042,Compilation of tRNA sequences and sequences of tRNA genes,Physical; Server,not_www,not_applicable,not_applicable,Access - Other; indicates that not a print out is new this year,1991,88
2,NAR9067,ECD: Escherichia coli database,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1991,15
3,MBDC0215,PROSITE,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1991,440
4,NAR9288,SWISS-PROT,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1991,269
5,NAR9275,Site Specific Methylation,Physical,not_www,not_applicable,not_applicable,not_applicable,1991,68
6,NAR9095,GDB: Genome Data Base,Physical,not_www,not_applicable,not_applicable,not_applicable,1991,22
7,NAR9039,Cloned Human Genes,Physical,not_www,not_applicable,not_applicable,not_applicable,1991,5
8,MBDC0230,5S rRNA Data Bank (Erdmann),Physical,not_www,not_applicable,not_applicable,not_applicable,1991,32
9,MBDC0130,Haemophilia B,Physical,not_www,not_applicable,not_applicable,Access - Other; floppy discs written in Wordperfect 5.1 on an IBM PS2 computer. We hope to generate a new-style database by 1992 …,1991,29
10,MBDC0002,EMBL-EBI ENA: European Nucleotide Archive,Physical; Server,not_www,not_applicable,not_applicable,"Provenance; est 1980 at EMBL, eventually becomes part of ENA: European Nucleotide Archive per wikipedia",1991,38
11,MBDC0463,European Ribosomal RNA Database,Physical; Server,not_www,not_applicable,not_applicable,Naming; small ribosomal subunit RNA (De Wachter) ,1991,180
12,MBDC0003,NCBI Genbank,Physical; Server,not_www,not_applicable,not_applicable,Access - Other; hardcopy stopped in 1987,1991,67
13,MBDC0224,REBASE: Restriction Enzymes and methylases dataBASE,Server,not_www,not_applicable,not_applicable,not_applicable,1991,34
14,MBDC0030,CUTG: Codon Usage Tabulated from GenBank,Physical,not_www,not_applicable,not_applicable,not_applicable,1991,109
15,NAR9277,Small RNA database (Reddy),Physical,not_www,not_applicable,not_applicable,not_applicable,1991,9
16,MBDC0194,PIR: Protein Identification Resouce,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1991,21
17,MBDC0243,RDP: Ribosomal Database Project,Not Available,not_www,not_applicable,not_applicable,Access - very first anspirational?,1991,101
18,NAR9126,Histone Compliation and Alignments,Physical,not_www,not_applicable,not_applicable,not_applicable,1991,45
19,MBDC0130,Haemophilia B,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1992,26
20,NAR9288,SWISS-PROT,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1992,184
21,MBDC0215,PROSITE,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1992,366
22,NAR9277,Small RNA database (Reddy),Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1992,8
23,NAR9095,GDB: Genome Data Base,Server,not_www,not_applicable,not_applicable,not_applicable,1992,22
24,MBDC0002,EMBL-EBI ENA: European Nucleotide Archive,Physical; Server,not_www,not_applicable,not_applicable,"Provenance; est 1980 at EMBL, eventually becomes part of ENA: European Nucleotide Archive per wikipedia",1992,37
25,NAR9067,ECD: Escherichia coli database,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1992,12
26,MBDC0248,SRPDB: Signal Recognition Particle Database,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1992,8
27,MBDC0296,MPDB: Molecular Probe Data Base,Server,not_www,not_applicable,not_applicable,not_applicable,1992,4
28,MBDC0463,European Ribosomal RNA Database,Physical; Server,not_www,not_applicable,not_applicable,"Naming; Charming; Honest; small ribosomal subunit RNA (De Wachter); Due to the increasing volume of the database, copying it onto diskettes is getting cumbersome.",1992,109
29,MBDC0243,RDP: Ribosomal Database Project,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1992,139
30,MBDC0194,PIR: Protein Identification Resouce,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1992,17
31,NAR9290,TFD: Transcription Factors Database,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1992,63
32,NAR9039,Cloned Human Genes,Not Available,no,discontinued notice,not_applicable,"Access - Failure Notes; It is regretted that it has become necessary to discontinue this database. This update will therefore be the last to be published in the Nucleic Acids Research Supplement. Access to information regarding newly cloned human DNA sequences is now possible by electronic means through the Human Genome Database (GDB), Baltimore.",1992,0
33,MBDC0030,CUTG: Codon Usage Tabulated from GenBank,Physical,not_www,not_applicable,not_applicable,not_applicable,1992,162
34,MBDC0003,NCBI Genbank,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1992,26
35,NAR9275,Site Specific Methylation,Physical,not_www,not_applicable,not_applicable,not_applicable,1992,37
36,MBDC0224,REBASE: Restriction Enzymes and methylases dataBASE,Server,not_www,not_applicable,not_applicable,not_applicable,1992,43
37,NAR9153,large subunit (23S- and 23S-like) ribosomal RNA structures,Physical,not_www,not_applicable,not_applicable,Access - Other; harcopy via authors but also deposited with RDS,1992,58
38,MBDC0002,EMBL-EBI ENA: European Nucleotide Archive,Physical; Server,not_www,not_applicable,not_applicable,"Provenance; est 1980 at EMBL, eventually becomes part of ENA: European Nucleotide Archive per wikipedia",1993,77
39,NAR9129,HSSP: Homology-Derived Structures of Proteins,Physical; Server,not_www,not_applicable,not_applicable,Naming; derived from Protein Data Bank; acronym doubled checked,1993,51
40,MBDC0130,Haemophilia B,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1993,48
41,MBDC0109,ENZYME Data Bank,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1993,50
42,MBDC0243,RDP: Ribosomal Database Project,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1993,391
43,MBDC0215,PROSITE,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1993,263
44,NAR9095,GDB: Genome Data Base,Server,not_www,not_applicable,not_applicable,Access - Other; lots of access mechanisms,1993,38
45,MBDC0296,MPDB: Molecular Probe Data Base,Server,not_www,not_applicable,not_applicable,not_applicable,1993,3
46,MBDC0003,NCBI Genbank,Physical; Server,not_www,not_applicable,not_applicable,Provenance ; good history prior to NAR and NCBI - back into the 1980s - also references papers about the history of sequence databases; A team of annotators using NCBI software creates sequence records from journal articles,1993,214
47,NAR9278,small subunit (16S- and 16S-like) ribosomal RNA structures,Physical,not_www,not_applicable,not_applicable,Access - Other; harcopy via authors but also deposited with RDS,1993,190
48,NAR9275,Site Specific Methylation,Physical,not_www,not_applicable,not_applicable,not_applicable,1993,58
49,MBDC0463,European Ribosomal RNA Database,Physical; Server,not_www,not_applicable,not_applicable,Naming; small ribosomal subunit RNA (De Wachter) ,1993,362
50,MBDC0217,SBASE,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1993,14
51,NAR9042,Compilation of tRNA sequences and sequences of tRNA genes,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1993,201
52,NAR9290,TFD: Transcription Factors Database,Server,not_www,not_applicable,not_applicable,not_applicable,1993,104
53,MBDC0248,SRPDB: Signal Recognition Particle Database,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1993,18
54,NAR9153,large subunit (23S- and 23S-like) ribosomal RNA structures,Physical,not_www,not_applicable,not_applicable,not_applicable,1993,340
55,NAR9277,Small RNA database (Reddy),Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1993,4
56,MBDC0048,TransTerm,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1993,57
57,NAR9157,LISTA,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1993,9
58,MBDC0194,PIR: Protein Identification Resouce,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1993,50
59,NAR9288,SWISS-PROT,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1993,109
60,MBDC0224,REBASE: Restriction Enzymes and methylases dataBASE,Server,not_www,not_applicable,not_applicable,not_applicable,1993,44
61,NAR9067,ECD: Escherichia coli database,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1993,21
62,NAR9095,GDB: Genome Data Base,Server,not_www,not_applicable,not_applicable,not_applicable,1994,63
63,NAR9111,GRBase: Gene Regulation Database,Server,not_www,not_applicable,not_applicable,not_applicable,1994,2
64,MBDC0243,RDP: Ribosomal Database Project,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1994,604
65,MBDC0212,PRINTS,Physical; Server,not_www,not_applicable,not_applicable,Naming; name comes from fingerPRINTS,1994,98
66,MBDC0130,Haemophilia B,Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1994,44
67,NAR9277,Small RNA database (Reddy),Physical; Server,not_www,not_applicable,not_applicable,not_applicable,1994,7
