"db_id","article_id","resource_name","access","available","unavailable_message","available_update_date","notes","article_year","citations","status","debut_yr","total_articles","total_citations","article_status"
"MBDC0001",272,"DDBJ: DNA Data Bank of Japan","http://www.ddbj.nig.ac.jp","yes","not_applicable","2016","not_applicable",1998,22,"yes",1997,19,586,"update"
"MBDC0002",2699,"EMBL-EBI ENA: European Nucleotide Archive","http://www.ebi.ac.uk/ena","yes","not_applicable","2016","not_applicable",2014,16,"yes",1991,23,1469,"update"
"MBDC0003",901,"NCBI Genbank","http://www.ncbi.nlm.nih.gov/","yes","not_applicable","2017","not_applicable",2003,306,"yes",1991,24,7582,"update"
"MBDC0005",531,"TGI: Gene Indices","http://www.tigr.org/tdb/tdb.html","yes","not_applicable","2016","Access - Archived; ",2000,259,"yes",2000,3,775,"debut"
"MBDC0007",2808,"NCBI COG: Clusters of Orthologous Groups","http://www.ncbi.nlm.nih.gov/COG/","yes","not_applicable","2014","not_applicable",2015,64,"yes",2000,3,2514,"update"
"MBDC0008",696,"Homophila","http://homophila.sdsc.edu","no","can't be reached","not_applicable","not_applicable",2002,87,"no",2002,1,87,"debut"
"MBDC0013",1478,"EPConDB: Endocrine Pancreas Consortium Database","http://www.cbil.upenn.edu/EPConDB","yes","not_applicable","unknown","not_applicable",2007,8,"yes",2007,1,8,"debut"
"MBDC0015",646,"GXD: mouse Gene Expression Database","http://www.informatics.jax.org/","yes","not_applicable","2016","not_applicable",2001,42,"yes",1999,7,295,"update"
"MBDC0018",679,"MAGEST: MAboya Gene Expression patterns and Sequence Tags","http://www.genome.ad.jp/magest/","no","not found","not_applicable","not_applicable",2002,10,"no",2000,2,38,"update"
"MBDC0019",654,"MethDB: Methylation DataBase ","http://www.methdb.de/","yes","not_applicable","2009","not_applicable",2001,47,"yes",2001,2,78,"debut"
"MBDC0021",580,"RECODE","http://recode.genetics.utah.edu/","no","can't be reached","not_applicable","not_applicable",2001,43,"yes",2001,3,116,"debut"
"MBDC0023",732,"Hugelndex","www.HugeIndex.org","no","forbidden","not_applicable","not_applicable",2002,43,"no",2002,1,43,"debut"
"MBDC0027",841,"Ensembl","http://www.ensembl.org/","yes","not_applicable","2016","not_applicable",2003,168,"yes",2002,15,6128,"update"
"MBDC0028",915,"ASD: Alternative Splicing Database","http://www.ebi.ac.uk/asd","no","discontinued notice","not_applicable","not_applicable",2004,161,"no",2004,2,341,"debut"
"MBDC0030",14,"CUTG: Codon Usage Tabulated from GenBank","Physical","not_www","not_applicable","not_applicable","not_applicable",1991,109,"yes",1991,7,1157,"debut"
"MBDC0031",959,"DBTBS: Database of Transcription in B. subtilis","http://elmo.ims.u-tokyo.ac.jp/dbtbs/","no","not found","not_applicable","not_applicable",2004,111,"yes",2001,3,342,"update"
"MBDC0032",499,"EID: Exon-Intron Database","http://mcb.harvard.edu/gilbert/EID","no","forbidden","not_applicable","Disambiguation; different from ChEBI; Different from ExInt",2000,110,"no",2000,1,110,"debut"
"MBDC0033",259,"EPD: Eukaryotic Promoter Database","http://cmpteam4.unil.ch","no","can't be reached","not_applicable","not_applicable",1998,87,"yes",1998,8,509,"debut"
"MBDC0037",601,"HUNT: HUman Novel Transcripts","http://www.hri.co.jp/HUNT","no","not found","not_applicable","not_applicable",2001,40,"no",2001,1,40,"debut"
"MBDC0038",1234,"HvrBase: HyperVariable Region Database","http://www.hvrbase.org","no","unrelated site redirect","not_applicable","not_applicable",2006,12,"no",1998,3,96,"update"
"MBDC0040",408,"PLACE: PLAnt Cis-acting regulatory DNA Elements","http://www.dna.affrc.go.jp/htdocs/PLACE/","no","service unavailable","not_applicable","not_applicable",1999,1795,"no",1998,2,1904,"update"
"MBDC0041",350,"PlantCARE","http://sphinx.rug.ac.be:8080/PlantCARE/","no","can't be reached","not_applicable","not_applicable",1999,154,"no",1999,2,1075,"debut"
"MBDC0042",621,"PromEC","http://bioinfo.md.huji.ac.il/marg/promec","no","can't be reached","not_applicable","not_applicable",2001,44,"no",2001,1,44,"debut"
"MBDC0043",2885,"rrnDB","https://rrndb.umms.med.umich.edu/","yes","not_applicable","2016","not_applicable",2015,54,"yes",2001,3,852,"update"
"MBDC0045",887,"rSNP Guide","http://util.bionet.nsc.ru/databases/rsnp.html","no","can't be reached","not_applicable","Disambiguation; different than the earlier Guide RNA database; , a database system for analysis of transcription factor binding to DNA with variations",2003,22,"yes",2001,2,45,"update"
"MBDC0046",586,"SpliceDB","http://www.softberry.com/spldb/SpliceDB.html","yes","not_applicable","unknown","not_applicable",2001,137,"yes",2001,1,137,"debut"
"MBDC0047",564,"STRBase: Short Tandem Repeat DNA Internet Database ","http://www.cstl.nist.gov/biotech/strbase/","yes","not_applicable","2017","Provenance; Interface; crazy old interface but google form asking about website design upgrate…. Incredible history of updates",2001,142,"yes",2001,1,142,"debut"
"MBDC0048",423,"TransTerm","http://biochem.otago.ac.nz:800/Transterm/homepage.html","no","can't be reached","not_applicable","not_applicable",1999,23,"yes",1993,10,250,"update"
"MBDC0049",769,"TRRD: Transcription Regulatory Regions Database","http://www.bionet.nsc.ru/trrd/","yes","not_applicable","unknown","not_applicable",2002,80,"yes",1999,3,141,"update"
"MBDC0051",1186,"WormBase","http://wormbase.org","yes","not_applicable","2017","not_applicable",2006,66,"yes",2001,11,1142,"update"
"MBDC0064",2382,"MitoZoa","http://www.caspur.it/mitozoa","no","not found","not_applicable","not_applicable",2012,25,"no",2012,1,25,"debut"
"MBDC0065",637,"ARKdb","www.thearkdb.org","yes","not_applicable","unknown","not_applicable",2001,50,"yes",2001,1,50,"debut"
"MBDC0067",443,"UK CropNet","http://synteny.nott.ac.uk/","no","can't be reached","not_applicable","not_applicable",2000,14,"no",2000,1,14,"debut"
"MBDC0068",289,"CyanoBase","http://www.kazusa.or.jp/cyano/","yes","not_applicable","2012","not_applicable",1998,138,"yes",1998,4,260,"debut"
"MBDC0069",2454,"EcoGene","http://ecogene.org","yes","not_applicable","unknown","not_applicable",2013,69,"yes",2000,2,258,"update"
"MBDC0071",1072,"FlyBase","http://flybase.org","yes","not_applicable","2016","not_applicable",2005,258,"yes",1994,17,2876,"update"
"MBDC0072",2043,"DB-AT: Database of Apicomplexan Transcriptomes","http://fullmal.hgc.jp/","yes","not_applicable","2014","not_applicable",2011,13,"yes",2001,5,73,"update"
"MBDC0073",2102,"HGNC Genenames.org","www.genenames.org","yes","not_applicable","2017","not_applicable",2011,163,"yes",2002,7,857,"update"
"MBDC0074",1196,"GOBASE","http://gobase.bcm.umontreal.ca/","yes","not_applicable","2010","not_applicable",2006,20,"yes",1998,5,140,"update"
"MBDC0075",562,"JGI GOLD: Genomes OnLine Database","http://igweb.integratedgenomics.com/GOLD/","no","can't be reached","not_applicable","not_applicable",2001,198,"yes",2001,6,1297,"debut"
"MBDC0077",552,"Human BAC Ends Database","http://www.tigr.org/tdb/humgen/bac_end_search/bac_end_intro.html","no","forbidden","not_applicable","not_applicable",2000,14,"no",2000,1,14,"debut"
"MBDC0080",1134,"LIS: Legume Information System","http://www.comparative-legumes.org","yes","not_applicable","2016","not_applicable",2005,59,"yes",2005,2,59,"debut"
"MBDC0084",136,"MITOMAP","http://www.gen.emory.edu/mitomap.html","no","can't be reached","not_applicable","not_applicable",1996,80,"yes",1996,5,814,"debut"
"MBDC0085",751,"MitoNuc","http://bighost.area.ba.cnr.it/mitochondriome","no","can't be reached","not_applicable","not_applicable",2002,10,"no",2000,2,13,"update"
"MBDC0087",2682,"MGD: Mouse Genome Database","http://www.informatics.jax.org","yes","not_applicable","2016","not_applicable",2014,107,"yes",1997,20,1878,"update"
"MBDC0091",614,"PlasmoDB","http://PlasmoDB.org","yes","not_applicable","2017","not_applicable",2001,55,"yes",2001,4,714,"debut"
"MBDC0093",1399,"RGD: Rat Genome Database","http://rgd.mcw.edu","yes","not_applicable","2017","not_applicable",2007,101,"yes",2002,5,292,"update"
"MBDC0096",671,"SubtiList","http://genolist.pasteur.fr/","yes","not_applicable","unknown","not_applicable",2002,88,"yes",2002,1,88,"debut"
"MBDC0097",1706,"TAIR: The Arabidopsis Information Resource","http://arabidopsis.org","yes","not_applicable","2017","not_applicable",2008,532,"yes",2001,4,1786,"update"
"MBDC0101",1550,"ZFIN: Zebrafish Information Network","http://zfin.org","yes","not_applicable","unknown","Indexing - link error; url wrong in the abstract",2008,108,"yes",2001,6,616,"update"
"MBDC0104",604,"DIP: Database of Interacting Proteins","http://dip.doe-mbi.ucla.edu","yes","not_applicable","2014","not_applicable",2001,139,"yes",2000,4,2825,"update"
"MBDC0105",319,"DRC: Database of Ribosomal Crosslinks","http://Ribosome.Genebee.MSU.SU/DRC/","no","not found","not_applicable","not_applicable",1998,19,"no",1998,2,52,"debut"
"MBDC0108",273,"EcoCyc","http://ecocyc.PangeaSystems.com/ecocyc/","no","can't be reached","not_applicable","not_applicable",1998,46,"yes",1996,10,1916,"update"
"MBDC0109",123,"ENZYME Data Bank","http://expasy.hcuge.ch/","yes","not_applicable","2016","not_applicable",1996,47,"yes",1993,5,675,"update"
