"db_id","article_id","resource_name","access","available","unavailable_message","available_update_date","notes","article_year","citations","status","debut_yr","total_articles","total_citations","article_status","issue_rank","issue_percent_rank","ave_issue_percent_rank","quartile"
"MBDC0215",3,"PROSITE","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1991,440,"yes",1991,13,5812,"debut",1,0.944444444444444,0.918518412266522,1
"NAR9288",4,"SWISS-PROT","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1991,269,"yes",1991,10,5258,"debut",2,0.888888888888889,0.897130826366183,1
"MBDC0463",11,"European Ribosomal RNA Database","Physical; Server","not_www","not_applicable","not_applicable","Naming; small ribosomal subunit RNA (De Wachter) ",1991,180,"yes",1991,17,2134,"debut",3,0.833333333333333,0.71381754248527,2
"MBDC0030",14,"CUTG: Codon Usage Tabulated from GenBank","Physical","not_www","not_applicable","not_applicable","not_applicable",1991,109,"yes",1991,7,1157,"debut",4,0.777777777777778,0.765816650309566,1
"MBDC0243",17,"RDP: Ribosomal Database Project","Not Available","not_www","not_applicable","not_applicable","Access - very first anspirational?",1991,101,"yes",1991,14,10183,"debut",5,0.722222222222222,0.931404101322359,1
"NAR9042",1,"Compilation of tRNA sequences and sequences of tRNA genes","Physical; Server","not_www","not_applicable","not_applicable","Access - Other; indicates that not a print out is new this year",1991,88,"no",1991,5,1401,"debut",6,0.666666666666667,0.824792299898683,1
"NAR9275",5,"Site Specific Methylation","Physical","not_www","not_applicable","not_applicable","not_applicable",1991,68,"never_www",1991,4,465,"debut",7,0.611111111111111,0.631615497076023,2
"MBDC0003",12,"NCBI Genbank","Physical; Server","not_www","not_applicable","not_applicable","Access - Other; hardcopy stopped in 1987",1991,67,"yes",1991,24,7582,"debut",8,0.555555555555556,0.846557240465988,1
"NAR9126",18,"Histone Compliation and Alignments","Physical","not_www","not_applicable","not_applicable","not_applicable",1991,45,"never_www",1991,1,45,"debut",9,0.5,0.5,3
"MBDC0002",10,"EMBL-EBI ENA: European Nucleotide Archive","Physical; Server","not_www","not_applicable","not_applicable","Provenance; est 1980 at EMBL, eventually becomes part of ENA: European Nucleotide Archive per wikipedia",1991,38,"yes",1991,23,1469,"debut",10,0.444444444444444,0.577741025455989,2
"MBDC0224",13,"REBASE: Restriction Enzymes and methylases dataBASE","Server","not_www","not_applicable","not_applicable","not_applicable",1991,34,"yes",1991,15,1202,"debut",11,0.388888888888889,0.591967837744961,2
"MBDC0230",8,"5S rRNA Data Bank (Erdmann)","Physical","not_www","not_applicable","not_applicable","not_applicable",1991,32,"yes",1991,7,254,"debut",12,0.333333333333333,0.41879110007579,3
"MBDC0130",9,"Haemophilia B","Physical","not_www","not_applicable","not_applicable","Access - Other; floppy discs written in Wordperfect 5.1 on an IBM PS2 computer. We hope to generate a new-style database by 1992 …",1991,29,"no",1991,7,342,"debut",13,0.277777777777778,0.513014440278078,2
"NAR9095",6,"GDB: Genome Data Base","Physical","not_www","not_applicable","not_applicable","not_applicable",1991,22,"no",1991,7,302,"debut",14,0.222222222222222,0.469727646995284,3
"MBDC0194",16,"PIR: Protein Identification Resouce","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1991,21,"yes",1991,12,975,"debut",15,0.166666666666667,0.557221018603154,2
"NAR9067",2,"ECD: Escherichia coli database","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1991,15,"never_www",1991,4,75,"debut",16,0.111111111111111,0.21374269005848,4
"NAR9277",15,"Small RNA database (Reddy)","Physical","not_www","not_applicable","not_applicable","not_applicable",1991,9,"no",1991,7,56,"debut",17,0.0555555555555556,0.110248504317453,4
"NAR9039",7,"Cloned Human Genes","Physical","not_www","not_applicable","not_applicable","not_applicable",1991,5,"no",1991,2,5,"debut",18,0,0,4
"MBDC0215",21,"PROSITE","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1992,366,"yes",1991,13,5812,"update",1,0.947368421052632,0.918518412266522,1
"NAR9288",20,"SWISS-PROT","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1992,184,"yes",1991,10,5258,"update",2,0.894736842105263,0.897130826366183,1
"MBDC0030",33,"CUTG: Codon Usage Tabulated from GenBank","Physical","not_www","not_applicable","not_applicable","not_applicable",1992,162,"yes",1991,7,1157,"update",3,0.842105263157895,0.765816650309566,1
"MBDC0243",29,"RDP: Ribosomal Database Project","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1992,139,"yes",1991,14,10183,"update",4,0.789473684210526,0.931404101322359,1
"MBDC0463",28,"European Ribosomal RNA Database","Physical; Server","not_www","not_applicable","not_applicable","Naming; Charming; Honest; small ribosomal subunit RNA (De Wachter); Due to the increasing volume of the database, copying it onto diskettes is getting cumbersome.",1992,109,"yes",1991,17,2134,"update",5,0.736842105263158,0.71381754248527,2
"NAR9290",31,"TFD: Transcription Factors Database","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1992,63,"never_www",1992,2,167,"debut",6,0.684210526315789,0.654605263157895,2
"NAR9153",37,"large subunit (23S- and 23S-like) ribosomal RNA structures","Physical","not_www","not_applicable","not_applicable","Access - Other; harcopy via authors but also deposited with RDS",1992,58,"never_www",1992,2,398,"debut",7,0.631578947368421,0.753289473684211,1
"MBDC0224",36,"REBASE: Restriction Enzymes and methylases dataBASE","Server","not_www","not_applicable","not_applicable","not_applicable",1992,43,"yes",1991,15,1202,"update",8,0.578947368421053,0.591967837744961,2
"MBDC0002",24,"EMBL-EBI ENA: European Nucleotide Archive","Physical; Server","not_www","not_applicable","not_applicable","Provenance; est 1980 at EMBL, eventually becomes part of ENA: European Nucleotide Archive per wikipedia",1992,37,"yes",1991,23,1469,"update",9,0.526315789473684,0.577741025455989,2
"NAR9275",35,"Site Specific Methylation","Physical","not_www","not_applicable","not_applicable","not_applicable",1992,37,"never_www",1991,4,465,"update",10,0.473684210526316,0.631615497076023,2
"MBDC0003",34,"NCBI Genbank","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1992,26,"yes",1991,24,7582,"update",12,0.368421052631579,0.846557240465988,1
"MBDC0130",19,"Haemophilia B","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1992,26,"no",1991,7,342,"update",11,0.421052631578947,0.513014440278078,2
"NAR9095",23,"GDB: Genome Data Base","Server","not_www","not_applicable","not_applicable","not_applicable",1992,22,"no",1991,7,302,"update",13,0.315789473684211,0.469727646995284,3
"MBDC0194",30,"PIR: Protein Identification Resouce","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1992,17,"yes",1991,12,975,"update",14,0.263157894736842,0.557221018603154,2
"NAR9067",25,"ECD: Escherichia coli database","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1992,12,"never_www",1991,4,75,"update",15,0.210526315789474,0.21374269005848,4
"MBDC0248",26,"SRPDB: Signal Recognition Particle Database","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1992,8,"yes",1992,11,296,"debut",16,0.157894736842105,0.302306008498003,3
"NAR9277",22,"Small RNA database (Reddy)","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1992,8,"no",1991,7,56,"update",17,0.105263157894737,0.110248504317453,4
"MBDC0296",27,"MPDB: Molecular Probe Data Base","Server","not_www","not_applicable","not_applicable","not_applicable",1992,4,"no",1992,6,19,"debut",18,0.0526315789473685,0.031561462986435,4
"NAR9039",32,"Cloned Human Genes","Not Available","no","discontinued notice","not_applicable","Access - Failure Notes; It is regretted that it has become necessary to discontinue this database. This update will therefore be the last to be published in the Nucleic Acids Research Supplement. Access to information regarding newly cloned human DNA sequences is now possible by electronic means through the Human Genome Database (GDB), Baltimore.",1992,0,"no",1991,2,5,"update",19,0,0,4
"MBDC0243",42,"RDP: Ribosomal Database Project","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1993,391,"yes",1991,14,10183,"update",1,0.958333333333333,0.931404101322359,1
"MBDC0463",49,"European Ribosomal RNA Database","Physical; Server","not_www","not_applicable","not_applicable","Naming; small ribosomal subunit RNA (De Wachter) ",1993,362,"yes",1991,17,2134,"update",2,0.916666666666667,0.71381754248527,2
"NAR9153",54,"large subunit (23S- and 23S-like) ribosomal RNA structures","Physical","not_www","not_applicable","not_applicable","not_applicable",1993,340,"never_www",1992,2,398,"update",3,0.875,0.753289473684211,1
"MBDC0215",43,"PROSITE","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1993,263,"yes",1991,13,5812,"update",4,0.833333333333333,0.918518412266522,1
"MBDC0003",46,"NCBI Genbank","Physical; Server","not_www","not_applicable","not_applicable","Provenance ; good history prior to NAR and NCBI - back into the 1980s - also references papers about the history of sequence databases; A team of annotators using NCBI software creates sequence records from journal articles",1993,214,"yes",1991,24,7582,"update",5,0.791666666666667,0.846557240465988,1
"NAR9042",51,"Compilation of tRNA sequences and sequences of tRNA genes","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1993,201,"no",1991,5,1401,"update",6,0.75,0.824792299898683,1
"NAR9278",47,"small subunit (16S- and 16S-like) ribosomal RNA structures","Physical","not_www","not_applicable","not_applicable","Access - Other; harcopy via authors but also deposited with RDS",1993,190,"no",1993,2,508,"debut",7,0.708333333333333,0.816666666666667,1
"NAR9288",59,"SWISS-PROT","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1993,109,"yes",1991,10,5258,"update",8,0.666666666666667,0.897130826366183,1
"NAR9290",52,"TFD: Transcription Factors Database","Server","not_www","not_applicable","not_applicable","not_applicable",1993,104,"never_www",1992,2,167,"update",9,0.625,0.654605263157895,2
"MBDC0002",38,"EMBL-EBI ENA: European Nucleotide Archive","Physical; Server","not_www","not_applicable","not_applicable","Provenance; est 1980 at EMBL, eventually becomes part of ENA: European Nucleotide Archive per wikipedia",1993,77,"yes",1991,23,1469,"update",10,0.583333333333333,0.577741025455989,2
"NAR9275",48,"Site Specific Methylation","Physical","not_www","not_applicable","not_applicable","not_applicable",1993,58,"never_www",1991,4,465,"update",11,0.541666666666667,0.631615497076023,2
"MBDC0048",56,"TransTerm","Physical; Server","not_www","not_applicable","not_applicable","not_applicable",1993,57,"yes",1993,10,250,"debut",12,0.5,0.3184937498807,3
