"db_id","resource_name","status","debut_yr","total_articles","total_citations","start","transition"
"MBDC0001","DDBJ: DNA Data Bank of Japan","yes",1997,19,586,"online_start","online_only"
"MBDC0002","EMBL-EBI ENA: European Nucleotide Archive","yes",1991,23,1469,"online_start","online_only"
"MBDC0002","EMBL-EBI ENA: European Nucleotide Archive","yes",1991,23,1469,"offline_start","transitioned"
"MBDC0003","NCBI Genbank","yes",1991,24,7582,"online_start","online_only"
"MBDC0003","NCBI Genbank","yes",1991,24,7582,"offline_start","transitioned"
"MBDC0005","TGI: Gene Indices","yes",2000,3,775,"online_start","online_only"
"MBDC0007","NCBI COG: Clusters of Orthologous Groups","yes",2000,3,2514,"online_start","online_only"
"MBDC0008","Homophila","no",2002,1,87,"online_start","online_only"
"MBDC0013","EPConDB: Endocrine Pancreas Consortium Database","yes",2007,1,8,"online_start","online_only"
"MBDC0015","GXD: mouse Gene Expression Database","yes",1999,7,295,"online_start","online_only"
"MBDC0018","MAGEST: MAboya Gene Expression patterns and Sequence Tags","no",2000,2,38,"online_start","online_only"
"MBDC0019","MethDB: Methylation DataBase ","yes",2001,2,78,"online_start","online_only"
"MBDC0021","RECODE","yes",2001,3,116,"online_start","online_only"
"MBDC0023","Hugelndex","no",2002,1,43,"online_start","online_only"
"MBDC0027","Ensembl","yes",2002,15,6128,"online_start","online_only"
"MBDC0028","ASD: Alternative Splicing Database","no",2004,2,341,"online_start","online_only"
"MBDC0030","CUTG: Codon Usage Tabulated from GenBank","yes",1991,7,1157,"offline_start","transitioned"
"MBDC0030","CUTG: Codon Usage Tabulated from GenBank","yes",1991,7,1157,"online_start","online_only"
"MBDC0031","DBTBS: Database of Transcription in B. subtilis","yes",2001,3,342,"online_start","online_only"
"MBDC0032","EID: Exon-Intron Database","no",2000,1,110,"online_start","online_only"
"MBDC0033","EPD: Eukaryotic Promoter Database","yes",1998,8,509,"online_start","online_only"
"MBDC0037","HUNT: HUman Novel Transcripts","no",2001,1,40,"online_start","online_only"
"MBDC0038","HvrBase: HyperVariable Region Database","no",1998,3,96,"online_start","online_only"
"MBDC0040","PLACE: PLAnt Cis-acting regulatory DNA Elements","no",1998,2,1904,"online_start","online_only"
"MBDC0041","PlantCARE","no",1999,2,1075,"online_start","online_only"
"MBDC0042","PromEC","no",2001,1,44,"online_start","online_only"
"MBDC0043","rrnDB","yes",2001,3,852,"online_start","online_only"
"MBDC0045","rSNP Guide","yes",2001,2,45,"online_start","online_only"
"MBDC0046","SpliceDB","yes",2001,1,137,"online_start","online_only"
"MBDC0047","STRBase: Short Tandem Repeat DNA Internet Database ","yes",2001,1,142,"online_start","online_only"
"MBDC0048","TransTerm","yes",1993,10,250,"online_start","online_only"
"MBDC0048","TransTerm","yes",1993,10,250,"offline_start","transitioned"
"MBDC0049","TRRD: Transcription Regulatory Regions Database","yes",1999,3,141,"online_start","online_only"
"MBDC0051","WormBase","yes",2001,11,1142,"online_start","online_only"
"MBDC0064","MitoZoa","no",2012,1,25,"online_start","online_only"
"MBDC0065","ARKdb","yes",2001,1,50,"online_start","online_only"
"MBDC0067","UK CropNet","no",2000,1,14,"online_start","online_only"
"MBDC0068","CyanoBase","yes",1998,4,260,"online_start","online_only"
"MBDC0069","EcoGene","yes",2000,2,258,"online_start","online_only"
"MBDC0071","FlyBase","yes",1994,17,2876,"online_start","online_only"
"MBDC0071","FlyBase","yes",1994,17,2876,"offline_start","transitioned"
"MBDC0072","DB-AT: Database of Apicomplexan Transcriptomes","yes",2001,5,73,"online_start","online_only"
"MBDC0073","HGNC Genenames.org","yes",2002,7,857,"online_start","online_only"
"MBDC0074","GOBASE","yes",1998,5,140,"online_start","online_only"
"MBDC0075","JGI GOLD: Genomes OnLine Database","yes",2001,6,1297,"online_start","online_only"
"MBDC0077","Human BAC Ends Database","no",2000,1,14,"online_start","online_only"
"MBDC0080","LIS: Legume Information System","yes",2005,2,59,"online_start","online_only"
"MBDC0084","MITOMAP","yes",1996,5,814,"online_start","online_only"
"MBDC0085","MitoNuc","no",2000,2,13,"online_start","online_only"
"MBDC0087","MGD: Mouse Genome Database","yes",1997,20,1878,"online_start","online_only"
"MBDC0091","PlasmoDB","yes",2001,4,714,"online_start","online_only"
"MBDC0093","RGD: Rat Genome Database","yes",2002,5,292,"online_start","online_only"
"MBDC0096","SubtiList","yes",2002,1,88,"online_start","online_only"
"MBDC0097","TAIR: The Arabidopsis Information Resource","yes",2001,4,1786,"online_start","online_only"
"MBDC0101","ZFIN: Zebrafish Information Network","yes",2001,6,616,"online_start","online_only"
"MBDC0104","DIP: Database of Interacting Proteins","yes",2000,4,2825,"online_start","online_only"
"MBDC0105","DRC: Database of Ribosomal Crosslinks","no",1998,2,52,"online_start","online_only"
"MBDC0108","EcoCyc","yes",1996,10,1916,"online_start","online_only"
"MBDC0109","ENZYME Data Bank","yes",1993,5,675,"online_start","online_only"
"MBDC0109","ENZYME Data Bank","yes",1993,5,675,"offline_start","transitioned"
"MBDC0110","EpoDB","no",1998,2,27,"online_start","online_only"
"MBDC0112","KEGG: Kyoto Encyclopedia of Genes and Genomes","yes",1999,11,16832,"online_start","online_only"
"MBDC0114","MetaCyc","yes",2002,8,1204,"online_start","online_only"
"MBDC0116","RegulonDB","yes",1998,10,1445,"online_start","online_only"
"MBDC0117","University of Minnesota Biocatalysis/Biodegradation Database","no",1999,6,334,"online_start","online_only"
"MBDC0119","ALFRED: Allele Frequency Database ","yes",2000,4,144,"online_start","online_only"
"MBDC0120","Androgen Receptor Gene Mutations Database","no",1994,4,241,"online_start","online_only"
"MBDC0120","Androgen Receptor Gene Mutations Database","no",1994,4,241,"offline_start","transitioned"
