"db_id","resource_name","status","total_articles","total_citations","debut_yr","db_last_update","maintdiff","maint_aft_debut","quartile"
"MBDC0215","PROSITE","yes",13,5812,1991,2017,26,1,1
"NAR9288","SWISS-PROT","yes",10,5258,1991,2017,26,1,1
"MBDC0463","European Ribosomal RNA Database","yes",17,2134,1991,2007,16,1,2
"MBDC0030","CUTG: Codon Usage Tabulated from GenBank","yes",7,1157,1991,2007,16,1,1
"MBDC0243","RDP: Ribosomal Database Project","yes",14,10183,1991,2016,25,1,1
"MBDC0003","NCBI Genbank","yes",24,7582,1991,2017,26,1,1
"MBDC0002","EMBL-EBI ENA: European Nucleotide Archive","yes",23,1469,1991,2017,26,1,2
"MBDC0224","REBASE: Restriction Enzymes and methylases dataBASE","yes",15,1202,1991,2017,26,1,2
"MBDC0230","5S rRNA Data Bank (Erdmann)","yes",7,254,1991,NA,NA,NA,3
"MBDC0194","PIR: Protein Identification Resouce","yes",12,975,1991,NA,NA,NA,2
"MBDC0248","SRPDB: Signal Recognition Particle Database","yes",11,296,1992,NA,NA,NA,3
"MBDC0048","TransTerm","yes",10,250,1993,NA,NA,NA,3
"MBDC0109","ENZYME Data Bank","yes",5,675,1993,2016,23,1,2
"MBDC0217","SBASE","yes",10,170,1993,2006,13,1,4
"MBDC0212","PRINTS","yes",8,837,1994,2009,15,1,2
"MBDC0143","OMIM: Online Mendelian Inheritance in Man","yes",5,1766,1994,2017,23,1,1
"MBDC0071","FlyBase","yes",17,2876,1994,2016,22,1,2
"MBDC0195","Ribonuclease P Database","yes",5,360,1994,2005,11,1,3
"MBDC0225","SWISS-2DPAGE","yes",5,151,1994,2011,17,1,3
"MBDC0229","RNA Mutations (Triman Database)","yes",5,46,1994,NA,NA,NA,4
"MBDC0340","TRANSFAC","yes",8,6114,1996,NA,NA,NA,1
"MBDC0084","MITOMAP","yes",5,814,1996,NA,NA,NA,1
"MBDC0108","EcoCyc","yes",10,1916,1996,2016,20,1,1
"MBDC0203","Blocks database","yes",5,497,1996,2007,11,1,2
"MBDC0162","ESTHER: ESTerases, alpha-beta Hydrolase Enzymes and Relatives","yes",5,285,1996,2016,20,1,2
"NAR9299","Transgenic Rodent Mutations Database","yes",3,80,1996,NA,NA,NA,3
"MBDC0167","HDB: Histone Database","yes",6,139,1996,NA,NA,NA,3
"MBDC0209","O-GLYCBASE","yes",4,255,1996,NA,NA,NA,2
"MBDC0442","EMBL-EBI Dali","yes",4,1184,1997,NA,NA,NA,1
"MBDC0137","Human Collagen Mutation Database","yes",2,326,1997,2016,19,1,1
"MBDC0282","SCOP: Structural Classification of Proteins","yes",7,2578,1997,2013,16,1,1
"MBDC0172","IMGT: ImMunoGeneTics database","yes",9,1370,1997,2016,19,1,1
"MBDC0087","MGD: Mouse Genome Database","yes",20,1878,1997,2016,19,1,2
"MBDC0001","DDBJ: DNA Data Bank of Japan","yes",19,586,1997,2016,19,1,3
"NAR9055","Directory of P450-containing Systems","yes",1,5,1997,NA,NA,NA,4
"MBDC0357","SGD: Saccharomyces Genome Database","yes",14,2094,1998,2017,19,1,2
"MBDC0210","Pfam","yes",11,14408,1998,2016,18,1,1
"MBDC0166","GPCRDB: G Protein-Coupled Receptor Database","yes",6,854,1998,2016,18,1,1
"MBDC0068","CyanoBase","yes",4,260,1998,2012,14,1,2
"MBDC0116","RegulonDB","yes",10,1445,1998,2016,18,1,2
"MBDC0033","EPD: Eukaryotic Promoter Database","yes",8,509,1998,2016,18,1,2
"NAR9223","PhosphoBase","yes",2,274,1998,NA,NA,NA,2
"MBDC0074","GOBASE","yes",5,140,1998,2010,12,1,3
"NAR9294","tmRNA Website","yes",6,221,1998,2013,15,1,3
"NAR9024","AtDB: Arabidopsis thaliana Database","yes",2,31,1998,NA,NA,NA,4
"MBDC0252","UTRdb: UnTranslated Regions of eukaryotic mRNAs database","yes",6,539,1998,2010,12,1,2
"MBDC0185","ooTFD: Object Oriented Transcription Factors Database","yes",3,90,1998,NA,NA,NA,3
"MBDC0250","tmRDB: tmRNA database","yes",6,147,1998,NA,NA,NA,3
"MBDC0112","KEGG: Kyoto Encyclopedia of Genes and Genomes","yes",11,16832,1999,2017,18,1,1
"MBDC0221","AAIndex: Amino Acid Index Database","yes",3,748,1999,2008,9,1,1
"MBDC0218","SMART: Simple Modular Architecture Research Tool","yes",8,4606,1999,NA,NA,NA,1
"MBDC0177","MEROPS","yes",10,2774,1999,2017,18,1,1
"MBDC0258","CATH: Class, Architecture, Topology, Homology","yes",10,1187,1999,2017,18,1,2
"MBDC0365","HIVdb: HIV Drug Resistance Database","yes",4,655,1999,2016,17,1,2
"MBDC0176","LGICdb: Ligand Gated Ion Channel database ","yes",3,142,1999,NA,NA,NA,3
"MBDC0381","ncRNAdb: Noncoding RNAs database","yes",5,285,1999,NA,NA,NA,2
"MBDC0154","PEDB: Prostate Expression Database","yes",3,88,1999,2017,18,1,3
"NAR9161","MBDC: Molecular Biology Database Collection","yes",17,917,1999,2017,18,1,2
"MBDC0270","NCBI MMDB: Molecular Modeling DataBase","yes",7,407,1999,2016,17,1,2
"MBDC0015","GXD: mouse Gene Expression Database","yes",7,295,1999,2016,17,1,3
"MBDC0171","HUGE","yes",4,162,1999,2008,9,1,3
"MBDC0049","TRRD: Transcription Regulatory Regions Database","yes",3,141,1999,NA,NA,NA,3
"MBDC0152","MTB: Mouse Tumor Biology Database","yes",5,67,1999,2016,17,1,4
"MBDC0184","ORDB: Olfactory Receptor Database","yes",3,84,1999,2015,16,1,3
"NAR9045","CyanoMutants","yes",1,17,1999,NA,NA,NA,3
"MBDC0122","Atlas of Genetics and Cytogenetics in Oncology and Haematology","yes",5,121,1999,2016,17,1,3
"MBDC0170","Homeodomain Resource","yes",4,58,1999,2016,17,1,4
"NAR9156","LIGAND","yes",3,275,1999,2016,17,1,3
"MBDC0208","PIR IProClass","yes",4,85,1999,2016,17,1,4
"NAR9152","KMDB: Keio Mutation Database","yes",3,23,1999,NA,NA,NA,4
"MBDC0156","AARSDB: Aminoacyl-tRNA Synthetase Data Bank","yes",3,30,1999,2003,4,1,4
"MBDC0276","RCSB PDB: Protein Data Bank","yes",9,17915,2000,2017,17,1,1
"MBDC0007","NCBI COG: Clusters of Orthologous Groups","yes",3,2514,2000,2014,14,1,1
"MBDC0104","DIP: Database of Interacting Proteins","yes",4,2825,2000,2014,14,1,1
"MBDC0005","TGI: Gene Indices","yes",3,775,2000,2016,16,1,1
"NAR9192","NCBI dbSNP: database of single nucleotide polymorphisms","yes",2,2456,2000,NA,NA,NA,1
"MBDC0069","EcoGene","yes",2,258,2000,NA,NA,NA,1
"MBDC0131","GWAS Centeral ","yes",4,286,2000,2016,16,1,2
