"maint_bin","quartile","quartile_count","quartile_count_sum","quartile_percent"
"< 2010",1,5,111,4.5045045045045
"< 2010",2,18,137,13.1386861313869
"< 2010",3,16,114,14.0350877192982
"< 2010",4,12,72,16.6666666666667
"2010-2011",1,5,111,4.5045045045045
"2010-2011",2,11,137,8.02919708029197
"2010-2011",3,20,114,17.5438596491228
"2010-2011",4,13,72,18.0555555555556
"2012-2013",1,10,111,9.00900900900901
"2012-2013",2,16,137,11.6788321167883
"2012-2013",3,12,114,10.5263157894737
"2012-2013",4,9,72,12.5
"2014-2015",1,16,111,14.4144144144144
"2014-2015",2,16,137,11.6788321167883
"2014-2015",3,23,114,20.1754385964912
"2014-2015",4,18,72,25
"2016-2017",1,75,111,67.5675675675676
"2016-2017",2,76,137,55.4744525547445
"2016-2017",3,43,114,37.719298245614
"2016-2017",4,20,72,27.7777777777778
